"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2018","1.434","1.441","1.490","1.425","0.15K","0.28%"
"08/07/2018","1.421","1.432","1.435","1.416","0.13K","-0.91%"
"08/08/2018","1.389","1.412","1.421","1.383","0.22K","-2.25%"
"08/09/2018","1.370","1.381","1.385","1.362","0.27K","-1.37%"
"08/10/2018","1.349","1.365","1.366","1.344","0.27K","-1.53%"
"08/13/2018","1.353","1.345","1.356","1.331","0.20K","0.30%"
"08/14/2018","1.369","1.360","1.378","1.355","0.13K","1.18%"
"08/15/2018","1.357","1.374","1.374","1.347","0.11K","-0.88%"
"08/16/2018","1.367","1.369","1.381","1.357","0.16K","0.74%"
"08/17/2018","1.361","1.361","1.365","1.349","0.15K","-0.44%"
"08/20/2018","1.355","1.352","1.359","1.341","0.38K","-0.44%"
"08/21/2018","1.349","1.363","1.364","1.341","0.33K","-0.44%"
"08/22/2018","1.320","1.353","1.353","1.308","0.19K","-2.15%"
"08/23/2018","1.294","1.315","1.315","1.285","0.45K","-1.97%"
"08/24/2018","1.313","1.292","1.313","1.288","0.09K","1.47%"
"08/27/2018","1.309","1.303","1.312","1.295","0.31K","-0.30%"
"08/28/2018","1.300","1.317","1.317","1.293","0.06K","-0.69%"
"08/29/2018","1.258","1.303","1.303","1.258","0.09K","-3.23%"
"08/30/2018","1.232","1.274","1.274","1.213","0.15K","-2.07%"
"08/31/2018","1.280","1.246","1.295","1.246","0.03K","3.90%"
"09/04/2018","1.303","1.280","1.302","1.276","0.00K","1.80%"
"09/05/2018","1.291","1.319","1.319","1.303","0.01K","-0.92%"
"09/06/2018","1.291","1.291","1.291","1.291","0.01K","0.00%"
"09/07/2018","1.292","1.273","1.293","1.273","0.07K","0.08%"
"09/10/2018","1.290","1.288","1.300","1.282","0.28K","-0.15%"
"09/11/2018","1.293","1.286","1.294","1.283","0.08K","0.23%"
"09/12/2018","1.265","1.298","1.299","1.254","0.39K","-2.17%"
"09/13/2018","1.274","1.265","1.280","1.256","0.24K","0.71%"
"09/14/2018","1.281","1.284","1.289","1.274","0.14K","0.55%"
"09/17/2018","1.274","1.283","1.283","1.265","0.25K","-0.55%"
"09/18/2018","1.267","1.275","1.275","1.256","0.17K","-0.55%"
"09/19/2018","1.255","1.260","1.265","1.250","0.24K","-0.95%"
"09/20/2018","1.262","1.250","1.264","1.244","0.63K","0.56%"
"09/21/2018","1.251","1.261","1.261","1.243","0.32K","-0.87%"
"09/24/2018","1.250","1.250","1.250","1.246","0.32K","-0.08%"
"09/25/2018","1.265","1.258","1.273","1.255","0.33K","1.20%"
"09/26/2018","1.273","1.280","1.280","1.268","0.06K","0.63%"
"09/27/2018","1.296","1.280","1.304","1.280","0.10K","1.81%"
"09/28/2018","1.285","1.305","1.305","1.280","0.03K","-0.85%"
"10/01/2018","1.295","1.300","1.300","1.295","0.01K","0.78%"
"10/02/2018","1.305","1.305","1.305","1.305","0.05K","0.77%"
"10/03/2018","1.305","1.285","1.291","1.285","0.03K","0.00%"
"10/04/2018","1.320","1.306","1.320","1.300","0.35K","1.15%"
"10/05/2018","1.320","1.316","1.325","1.306","0.07K","0.00%"
"10/08/2018","1.322","1.325","1.325","1.315","0.09K","0.15%"
"10/09/2018","1.318","1.314","1.325","1.307","0.15K","-0.30%"
"10/10/2018","1.320","1.317","1.320","1.306","0.14K","0.15%"
"10/11/2018","1.305","1.314","1.317","1.288","0.21K","-1.14%"
"10/12/2018","1.309","1.309","1.315","1.296","0.16K","0.31%"
"10/15/2018","1.308","1.309","1.320","1.300","0.35K","-0.08%"
"10/16/2018","1.284","1.302","1.302","1.275","0.28K","-1.83%"
"10/17/2018","1.280","1.276","1.282","1.273","0.34K","-0.31%"
"10/18/2018","1.265","1.280","1.280","1.262","0.18K","-1.17%"
"10/19/2018","1.259","1.268","1.270","1.259","0.34K","-0.47%"
"10/22/2018","1.263","1.262","1.273","1.257","0.21K","0.32%"
"10/23/2018","1.268","1.258","1.275","1.248","0.42K","0.40%"
