Date,Price_Real_Raizen
08/05/21,7.24
08/06/21,7.1
08/09/21,7.07
08/10/21,7.1
08/11/21,6.87
08/12/21,6.96
08/13/21,7.01
08/16/21,7.02
08/17/21,6.82
08/18/21,6.81
08/19/21,6.93
08/20/21,6.98
08/23/21,7.17
08/24/21,7.25
08/25/21,7.34
08/26/21,7.1
08/27/21,7.19
08/30/21,7.11
08/31/21,7.1
09/01/21,7.07
09/02/21,6.8
09/03/21,7.0
09/06/21,6.93
09/08/21,6.53
09/09/21,6.41
09/10/21,6.5
09/13/21,6.95
09/14/21,7.19
09/15/21,7.24
09/16/21,7.12
09/17/21,7.24
09/20/21,7.11
09/21/21,7.28
09/22/21,7.31
09/23/21,7.23
09/24/21,7.0
09/27/21,7.15
09/28/21,6.94
09/29/21,6.85
09/30/21,7.1
10/01/21,7.37
10/04/21,7.02
10/05/21,7.13
10/06/21,6.99
10/07/21,7.13
10/08/21,7.14
10/11/21,7.03
10/13/21,7.05
10/14/21,7.15
10/15/21,7.1
10/18/21,6.98
10/19/21,6.69
10/20/21,6.64
10/21/21,6.43
10/22/21,6.37
10/25/21,6.63
10/26/21,6.58
10/27/21,6.63
10/28/21,6.78
10/29/21,6.78
11/01/21,6.79
11/03/21,6.9
11/04/21,6.75
11/05/21,6.75
11/08/21,6.77
11/09/21,6.73
11/10/21,6.5
11/11/21,6.8
11/12/21,6.52
11/16/21,6.02
11/17/21,5.85
11/18/21,5.84
11/19/21,5.93
11/22/21,5.63
11/23/21,5.67
11/24/21,5.57
11/25/21,6.08
11/26/21,5.91
11/29/21,5.79
11/30/21,5.46
12/01/21,5.49
12/02/21,5.69
12/03/21,6.02
12/06/21,5.83
12/07/21,5.92
12/08/21,5.98
12/09/21,5.92
12/10/21,6.16
12/13/21,6.22
12/14/21,6.17
12/15/21,6.2
12/16/21,6.11
12/17/21,5.93
12/20/21,5.82
12/21/21,5.75
12/22/21,5.67
12/23/21,5.72
12/27/21,5.92
12/28/21,6.05
12/29/21,6.01
12/30/21,6.45
01/03/22,6.27
01/04/22,6.33
01/05/22,5.79
01/06/22,5.56
01/07/22,5.82
01/10/22,5.7
01/11/22,5.9
01/12/22,6.13
01/13/22,6.11
01/14/22,6.19
01/17/22,6.18
01/18/22,6.18
01/19/22,6.37
01/20/22,6.44
01/21/22,6.23
01/24/22,6.15
01/25/22,6.2
01/26/22,6.22
01/27/22,6.25
01/28/22,6.38
01/31/22,6.42
02/01/22,6.4
02/02/22,6.39
02/03/22,6.46
02/04/22,6.38
02/07/22,6.27
02/08/22,6.33
02/09/22,6.35
02/10/22,6.43
02/11/22,6.35
02/14/22,6.42
02/15/22,6.42
02/16/22,6.43
02/17/22,6.29
02/18/22,6.11
02/21/22,5.77
02/22/22,5.65
02/23/22,5.66
02/24/22,5.77
02/25/22,5.71
03/02/22,5.99
03/03/22,6.16
03/04/22,6.21
03/07/22,6.18
03/08/22,6.3
03/09/22,6.42
03/10/22,6.42
03/11/22,6.31
03/14/22,6.3
03/15/22,6.37
03/16/22,6.34
03/17/22,6.64
03/18/22,6.99
03/21/22,6.88
03/22/22,7.1
03/23/22,7.11
03/24/22,7.15
03/25/22,7.27
03/28/22,7.37
03/29/22,7.34
03/30/22,7.33
03/31/22,7.03
04/01/22,6.92
04/04/22,7.0
04/05/22,7.1
04/06/22,7.13
04/07/22,7.03
04/08/22,6.95
04/11/22,6.9
04/12/22,6.98
04/13/22,7.08
04/14/22,7.1
04/18/22,7.13
04/19/22,6.95
04/20/22,6.97
04/22/22,6.88
04/25/22,7.05
04/26/22,7.02
04/27/22,7.11
04/28/22,7.19
04/29/22,6.9
05/02/22,6.59
05/03/22,6.2
05/04/22,6.05
05/05/22,5.55
05/06/22,5.56
05/09/22,5.19
05/10/22,5.2
05/11/22,5.21
05/12/22,5.38
05/13/22,5.17
05/16/22,5.48
05/17/22,5.62
05/18/22,5.56
05/19/22,5.67
05/20/22,5.54
05/23/22,5.64
05/24/22,5.79
05/25/22,5.92
05/26/22,6.18
05/27/22,6.07
05/30/22,6.29
05/31/22,6.13
06/01/22,6.19
06/02/22,6.3
06/03/22,6.19
06/06/22,5.96
06/07/22,5.64
06/08/22,5.52
06/09/22,5.41
06/10/22,5.32
06/13/22,5.13
