"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2023","6,739.00","6,735.00","6,775.00","6,710.00","19.01K","-0.15%"
"06/28/2023","6,749.00","6,720.00","6,772.00","6,717.00","15.76K","-0.95%"
"06/27/2023","6,814.00","6,902.00","6,937.00","6,774.00","35.70K","-0.96%"
"06/26/2023","6,880.00","6,900.00","6,917.00","6,856.00","27.70K","-1.46%"
"06/21/2023","6,982.00","6,999.00","7,008.00","6,950.00","19.32K","-0.14%"
"06/20/2023","6,992.00","6,962.00","7,014.00","6,955.00","19.79K","-0.04%"
"06/19/2023","6,995.00","7,005.00","7,032.00","6,954.00","38.81K","-0.44%"
"06/16/2023","7,026.00","7,066.00","7,070.00","6,981.00","42.42K","-0.06%"
"06/15/2023","7,030.00","7,029.00","7,064.00","7,009.00","34.40K","0.49%"
"06/14/2023","6,996.00","7,015.00","7,026.00","6,960.00","41.59K","-0.65%"
"06/13/2023","7,042.00","7,050.00","7,060.00","7,020.00","39.12K","0.04%"
"06/12/2023","7,039.00","7,054.00","7,065.00","7,015.00","49.68K","0.04%"
"06/09/2023","7,036.00","7,009.00","7,078.00","6,989.00","88.47K","1.09%"
"06/08/2023","6,960.00","6,955.00","6,999.00","6,935.00","64.36K","0.19%"
"06/07/2023","6,947.00","6,923.00","6,970.00","6,907.00","124.10K","0.78%"
"06/06/2023","6,893.00","6,887.00","6,953.00","6,855.00","159.43K","0.09%"
"06/05/2023","6,887.00","6,882.00","6,927.00","6,840.00","180.03K","-0.03%"
"06/02/2023","6,889.00","7,020.00","7,025.00","6,802.00","346.76K","-1.36%"
"06/01/2023","6,984.00","6,980.00","7,030.00","6,950.00","170.62K","0.03%"
"05/31/2023","6,982.00","7,000.00","7,018.00","6,950.00","165.06K","0.03%"
"05/30/2023","6,980.00","7,021.00","7,034.00","6,941.00","220.25K","-0.37%"
"05/29/2023","7,006.00","6,971.00","7,057.00","6,942.00","293.57K","0.86%"
"05/26/2023","6,946.00","7,002.00","7,016.00","6,895.00","651.14K","-1.80%"
"05/25/2023","7,073.00","7,110.00","7,135.00","7,008.00","690.53K","-1.17%"
"05/24/2023","7,157.00","7,172.00","7,187.00","7,111.00","521.53K","-0.18%"
"05/23/2023","7,170.00","7,113.00","7,202.00","7,112.00","654.89K","1.88%"
"05/22/2023","7,038.00","6,999.00","7,156.00","6,964.00","947.21K","1.24%"
"05/19/2023","6,952.00","6,942.00","6,984.00","6,906.00","706.47K","0.17%"
"05/18/2023","6,940.00","6,913.00","6,989.00","6,912.00","530.07K","-1.59%"
"05/17/2023","7,052.00","7,055.00","7,055.00","7,033.00","0.01K","2.60%"
"05/16/2023","6,873.00","6,871.00","6,888.00","6,871.00","0.02K","0.06%"
"05/15/2023","6,869.00","6,885.00","6,920.00","6,851.00","0.52K","-0.41%"
"05/12/2023","6,897.00","6,915.00","7,200.00","6,881.00","0.72K","-0.66%"
"05/11/2023","6,943.00","6,955.00","6,985.00","6,915.00","0.16K","0.22%"
"05/10/2023","6,928.00","6,890.00","6,969.00","6,890.00","0.39K","0.07%"
"05/09/2023","6,923.00","6,935.00","6,948.00","6,911.00","0.29K","-0.65%"
"05/08/2023","6,968.00","6,950.00","6,980.00","6,945.00","0.63K","0.56%"
"05/05/2023","6,929.00","6,850.00","6,936.00","6,850.00","0.31K","0.79%"
"05/04/2023","6,875.00","6,884.00","6,924.00","6,823.00","0.67K","-1.26%"
"04/28/2023","6,963.00","6,948.00","7,036.00","6,906.00","10.68K","1.44%"
"04/27/2023","6,864.00","6,871.00","6,902.00","6,839.00","9.73K","0.19%"
"04/26/2023","6,851.00","6,780.00","6,921.00","6,753.00","10.65K","0.68%"
"04/25/2023","6,805.00","6,774.00","6,866.00","6,743.00","14.54K","0.19%"
