source,target,value
Ned,Theon,20
Jory,Theon,16
Jon,Jory,13
Jon,Robb,83
Bran,Robb,38
Jory,Robb,15
Jon,Theon,25
Jon,Rickon,53
Bran,Jory,9
Bran,Jon,43
Catelyn,Jon,51
Catelyn,Ned,419
Rickon,Sansa,15
Ned,Rickon,20
Bran,Ned,19
Bran,Catelyn,45
Catelyn,Luwin,126
Ned,Robert,1103
Jon,Robert,77
Brynden,Catelyn,115
Brynden,Ned,19
Lysa,Ned,30
Catelyn,Lysa,200
Catelyn,Robert,96
Luwin,Ned,77
Jory,Robert,27
Daenerys,Viserys,8
Khal,Viserys,77
Daenerys,Khal,11
Jorah,Khal,88
Daenerys,Jorah,22
Jaime,Ned,89
Jaime,The Hound,38
Ned,The Hound,37
Robert,Theon,4
Cersei,Robert,113
Cersei,Ned,107
Jaime,Robert,83
Lyanna,Ned,80
Lyanna,Robert,55
Jon,Ned,102
Lysa,Robert,35
Benjen,Ned,12
Benjen,Robert,16
Rickon,Robert,2
Joffrey,Tommen,22
Joffrey,Jon,21
Jaime,Joffrey,46
Jaime,Jon,15
Jon,Tyrion,175
Cersei,Tyrion,30
Cersei,Jon,7
Benjen,Jon,109
Benjen,Theon,11
Jon,Luwin,62
Benjen,Luwin,15
Rickon,Robb,27
Arya,Robb,5
Arya,Sansa,386
Jon,Sansa,19
Catelyn,Tyrion,179
Joffrey,Ned,54
Catelyn,Rickon,19
Catelyn,Joffrey,11
Arya,Joffrey,131
Arya,Catelyn,19
Arya,Ned,151
Ned,Rodrik,31
Robb,Rodrik,13
Robb,Robert,2
Bran,Rickon,47
Arya,Jon,138
Mordane,Sansa,161
Arya,Mordane,119
Mordane,Myrcella,23
Myrcella,Sansa,11
Joffrey,Sansa,369
Arya,Myrcella,22
Arya,Nymeria,149
Mordane,Nymeria,17
Jon,Nymeria,32
Robb,Theon,34
Arya,Rickon,17
Arya,Tommen,10
Jon,Tommen,2
Joffrey,Rodrik,17
Rodrik,Theon,12
Joffrey,Theon,4
Arya,Rodrik,7
Jon,Rodrik,4
Jon,Mordane,23
Mordane,Theon,2
Jaime,Meryn,5
Jaime,Robb,12
Barristan,Robb,5
Barristan,Bran,6
Bran,Hodor,19
Bran,Lady,3
Arya,Lady,29
Bran,Luwin,72
Robert,Stannis,72
Renly,Stannis,45
Ned,Renly,36
Joffrey,Tyrion,19
The Hound,Tyrion,5
Cersei,The Hound,7
Jaime,Tyrion,109
Jaime,Tommen,10
Cersei,Tommen,9
Myrcella,Tommen,21
Tommen,Tyrion,6
Cersei,Jaime,21
Jaime,Myrcella,6
Robert,Tyrion,54
Jorah,Viserys,98
Irri,Viserys,25
Doreah,Irri,42
Doreah,Jorah,7
Khal,Qotho,33
Meryn,Robert,8
Meryn,Ned,6
Jorah,Lysa,5
Jorah,Ned,22
Jorah,Robert,18
Daenerys,Ned,1
Ned,Stannis,100
Ned,Tyrion,9
Benjen,Tyrion,37
Benjen,Yoren,26
Jon,Yoren,38
Tyrion,Yoren,26
Jory,Luwin,5
