sentence,entities,character_entities
"Gared glared at the lordling, the scars around his ear holes flushed red with anger where Maester Aemon had cut the ears away.","['Gared', 'Maester Aemon']",['Aemon']
“For Robert!”,['Robert'],['Robert']
"Gared would know what to make of it, and if not him, then surely that old bear Mormont or Maester Aemon.","['Mormont', 'Maester Aemon']",['Aemon']
"Robb thought he was a wildling, his sword sworn to Mance Rayder, the King-beyond-the-Wall.",['Mance Rayder'],['Mance']
"Robb and Jon sat tall and still on their horses, with Bran between them on his pony, trying to seem older than seven, trying to pretend that he’d seen all this before.","['Jon', 'older than seven']",['Jon']
Lord Eddard Stark dismounted and his ward Theon Greyjoy brought forth the sword.,"['Eddard Stark', 'Theon Greyjoy']","['Ned', 'Theon']"
"His father peeled off his gloves and handed them to Jory Cassel, the captain of his household guard.",['Jory Cassel'],['Jory']
Bran’s bastard brother Jon Snow moved closer.,['Jon Snow'],['Jon']
"“You did well,” Jon told him solemnly.",['Jon'],['Jon']
"Jon was fourteen, an old hand at justice.

","['Jon', 'fourteen']",['Jon']
"“No,” Jon Snow said quietly.",['Jon Snow'],['Jon']
"Jon’s eyes were a grey so dark they seemed almost black, but there was little they did not see.",['Jon'],['Jon']
"He was of an age with Robb, but they did not look alike.",['Robb'],['Robb']
"Jon was slender where Robb was muscular, dark where Robb was fair, graceful and quick where his half brother was strong and fast.

","['Jon', 'Robb', 'Robb', 'half']","['Jon', 'Robb', 'Robb']"
"Race you to the bridge?”

“Done,” Jon said, kicking his horse forward.",['Jon'],['Jon']
"Robb cursed and followed, and they galloped off down the trail, Robb laughing and hooting, Jon silent and intent.",['Jon'],['Jon']
"After a while, the sound of Robb’s laughter receded, and the woods grew silent again.

",['Robb'],['Robb']
"“Robb says the man died bravely, but Jon says he was afraid.”

“What do you think?”",['Jon'],['Jon']
"“One day, Bran, you will be Robb’s bannerman, holding a keep of your own for your brother and your king, and justice will fall to you.","['One day', 'Bran', 'Robb']","['Bran', 'Robb']"
That was when Jon reappeared on the crest of the hill before them.,['Jon'],['Jon']
"“Father, Bran, come quickly, see what Robb has found!”",['Robb'],['Robb']
Jory rode up beside them.,['Jory'],['Jory']
"They found Robb on the riverbank north of the bridge, with Jon still mounted beside him.",['Jon'],['Jon']
Jory Cassel and Theon Greyjoy were the first to reach the boys.,"['Jory Cassel', 'Theon Greyjoy', 'first']","['Jory', 'Theon']"
Jory’s sword was already out.,['Jory'],['Jory']
"“She’s dead, Jory.”

",['Jory'],['Jory']
"By then Jon, Jory, and Theon Greyjoy had all dismounted as well.","['Jory', 'Theon Greyjoy']","['Jory', 'Theon']"
"“It’s no freak,” Jon said calmly.",['Jon'],['Jon']
"They grow larger than the other kind.”

Theon Greyjoy said, “There’s not been a direwolf sighted south of the Wall in two hundred years.”

","['Theon Greyjoy', 'two hundred years']",['Theon']
"“I see one now,” Jon replied.

",['Jon'],['Jon']
