source,target,value
Robert,Stannis,130
Davos,Stannis,292
Shireen,Stannis,22
Beric,Stannis,4
Beric,Renly,2
Davos,Ned,4
Ned,Stannis,11
Renly,Stannis,122
Renly,Robert,40
Littlefinger,Stannis,31
Littlefinger,Renly,10
Mace,Robert,8
Robert,Viserys,17
Jon,Robert,17
Lysa,Stannis,10
Lysa,Shireen,4
Mace,Stannis,27
Melisandre,Stannis,34
Davos,Melisandre,61
Melisandre,Robert,6
Lommy,Yoren,88
Arya,Yoren,194
Arya,Sansa,72
Arya,Lommy,142
Jon,Lommy,2
Hot,Jon,4
Hot,Lommy,19
Arya,Hot,24
Syrio,Yoren,17
Lommy,Syrio,9
Joffrey,Yoren,4
Jon,Yoren,10
Jon,Sansa,1
Joffrey,Sansa,282
Joffrey,Robb,40
Joffrey,Meryn,34
Cersei,Robert,36
Sansa,The Hound,25
Bran,Sansa,1
Bran,Tommen,2
Meryn,Sansa,6
Janos,Sansa,11
Janos,Joffrey,12
Dontos,Joffrey,60
Dontos,Sansa,112
Joffrey,Tommen,64
Sansa,Tommen,30
Robert,Sansa,10
Sansa,Tyrion,62
Tommen,Tyrion,22
Joffrey,Myrcella,25
Mordane,Sansa,9
Jaime,Joffrey,42
Myrcella,The Hound,6
Jaime,Tyrion,56
Bronn,Jaime,6
Bronn,Joffrey,49
Bronn,Tyrion,123
Cersei,Tyrion,113
Cersei,Joffrey,80
Joffrey,Tyrion,130
Joffrey,Robert,70
Robert,Tyrion,29
Pycelle,Tyrion,96
Janos,Pycelle,15
Littlefinger,Tyrion,36
Joffrey,Stannis,113
Janos,Tyrion,35
Littlefinger,Pycelle,43
Janos,Littlefinger,11
Joffrey,Tywin,5
Meryn,Robert,6
Joffrey,Ned,24
Renly,Tyrion,40
Sansa,Stannis,44
Barristan,Robert,5
Barristan,Jaime,8
Jaime,The Hound,5
Barristan,Robb,6
Robb,Stannis,28
Stannis,Tyrion,113
Joffrey,Varys,46
Littlefinger,Varys,75
Cersei,Littlefinger,15
Cersei,Ned,18
Jaime,Ned,19
Cersei,Jaime,78
Lancel,Robert,23
Lancel,Tyrion,68
Bronn,Cersei,39
Shae,Tyrion,85
Shae,Varys,26
Tyrion,Varys,94
Lady,Nymeria,6
