sentence,entities,character_entities
Her name was Shireen.,['Shireen'],['Shireen']
"“I had bad dreams,” Shireen told him.",['Shireen'],['Shireen']
Shireen was unconvinced.,['Shireen'],['Shireen']
Shireen gave a brave little nod.,['Shireen'],['Shireen']
"Shireen was a summer child, and had never known true cold.

","['Shireen', 'summer']",['Shireen']
Shireen giggled.,['Shireen'],['Shireen']
Shireen gave a cry of delight.,['Shireen'],['Shireen']
"Robert will be delighted with him, and perhaps in time he will even teach Stannis how to laugh.”

","['Robert', 'Stannis']","['Robert', 'Stannis']"
"No one had ever taught Stannis how to laugh, least of all the boy Patchface.","['Stannis', 'Patchface']",['Stannis']
"I thought you would want to know at once.”

“Davos . . .",['Davos'],['Davos']
"There was a time when Lord Stannis would have woken him, no matter the hour, to have him there to give his counsel.",['Stannis'],['Stannis']
He disentangled his fingers from Shireen’s.,['Shireen'],['Shireen']
"Shireen and Patchface followed them out, but the child soon grew restless with the old man’s creeping pace and dashed ahead, the fool lurching after her with his cowbells clanging madly.

","['Shireen', 'Patchface']",['Shireen']
"Lord Stannis would be found in the Chamber of the Painted Table, atop the Stone Drum, Dragonstone’s central keep, so named for the way its ancient walls boomed and rumbled during storms.","['Stannis', 'the Chamber of the Painted Table', 'Dragonstone']",['Stannis']
"But Lord Stannis would not think to come to him, so the maester resigned himself to the ordeal.",['Stannis'],['Stannis']
"He had stopped to catch his breath and ease the pain in his hip when he heard the scuff of boots on stone, and came face-to-face with Ser Davos Seaworth, descending.

",['Davos Seaworth'],['Davos']
"Davos was a slight man, his low birth written plain upon a common face.",['Davos'],['Davos']
"His left hand closed, stubby fingers locking into a fist; Stannis had hacked the ends off at the last joint, all but the thumb.",['Stannis'],['Stannis']
"The others—well, Beric Dondarrion is gone missing, some say dead, and Lord Caron is with Renly.",['Beric Dondarrion'],['Beric']
"It was just the sort of notion that would appeal to Renly Baratheon; a splendid new order of knighthood, with gorgeous new raiment to proclaim it.",['Renly Baratheon'],['Renly']
"Even as a boy, Renly had loved bright colors and rich fabrics, and he had loved his games as well.",['Renly'],['Renly']
"“You could bring him no hope?”

“Only the false sort, and I’d not do that,” Davos said.",['Davos'],['Davos']
"“He had the truth from me.”

Maester Cressen remembered the day Davos had been knighted, after the siege of Storm’s End.","['Maester Cressen', 'Davos', 'Storm’s End']",['Davos']
"Lord Stannis and a small garrison had held the castle for close to a year, against the great host of the Lords Tyrell and Redwyne.","['Stannis', 'close to a year', 'Lords Tyrell', 'Redwyne']",['Stannis']
"Cloaked in that darkness, Davos the smuggler had dared the Redwyne cordon and the rocks of Shipbreaker Bay alike.","['Davos', 'Redwyne', 'Shipbreaker Bay']",['Davos']
"Little enough, yet it had kept the garrison alive long enough for Eddard Stark to reach Storm’s End and break the siege.

","['Eddard Stark', 'Storm’s End']",['Ned']
"Lord Stannis had rewarded Davos with choice lands on Cape Wrath, a small keep, and a knight’s honors . . .","['Stannis', 'Davos', 'Cape Wrath']","['Stannis', 'Davos']"
"Davos had submitted, on the condition that Stannis wield the knife himself; he would accept no punishment from lesser hands.","['Davos', 'Stannis']","['Davos', 'Stannis']"
"Afterward, Davos had chosen the name Seaworth for his new-made house, and he took for his banner a black ship on a pale grey field—with an onion on its sails.","['Davos', 'Seaworth']",['Davos']
"The onetime smuggler was fond of saying that Lord Stannis had done him a boon, by giving him four less fingernails to clean and trim.

","['Stannis', 'four']",['Stannis']
Davos held up his gloved hand.,['Davos'],['Davos']
"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","['Stannis Baratheon', 'the Iron Throne', 'Seven']",['Stannis']
"Hard was the word men used when they spoke of Stannis, and hard he was.",['Stannis'],['Stannis']
"As if in answer, Stannis kept his own whiskers cropped tight and short.",['Stannis'],['Stannis']
"Sometimes when the world grew very still and silent of a night, Maester Cressen fancied he could hear Lord Stannis grinding his teeth half a castle away.

","['Maester Cressen', 'Stannis', 'half']",['Stannis']
