source,target,value
Aemon,Jon,11
Jon,Qhorin,50
Craster,Yoren,4
Aemon,Samwell,10
Grenn,Samwell,17
Cersei,Jaime,69
Catelyn,Jaime,22
Jaime,Tyrion,33
Cersei,Robert,23
Brienne,Cersei,16
Brienne,Jaime,333
Brienne,Catelyn,31
Cersei,Tyrion,64
Beric,Jaime,1
Jaime,Robin,21
Catelyn,Robin,24
Catelyn,Lysa,62
Bran,Lysa,3
Bran,Rickon,6
Rickon,Theon,11
Ned,Theon,6
Catelyn,Ned,15
Lysa,Ned,9
Edmure,Lysa,7
Lysa,Robert,14
Ned,Robert,6
Lysa,Robb,10
Catelyn,Robb,59
Jon,Lysa,11
Catelyn,Jon,1
Catelyn,Rickon,17
Lysa,Robin,4
Catelyn,Edmure,30
Catelyn,The Mountain,3
Stannis,The Mountain,3
Catelyn,Stannis,13
Catelyn,Renly,5
Renly,Stannis,15
Joffrey,Stannis,41
Brienne,Robb,15
Arya,Jaime,13
Arya,Jaqen,11
Jaqen,Roose,1
Roose,Steelshanks,5
Arya,Steelshanks,3
Arya,Roose,23
Arya,Syrio,20
Jaqen,Syrio,6
Arya,Gendry,206
Gendry,Hot,28
Hot,Robb,1
Gendry,Yoren,5
Arya,Yoren,15
Arya,Hot,16
Gendry,Jon,5
Bronn,Tyrion,89
Bronn,The Hound,6
Cersei,Joffrey,11
Jaime,Stannis,13
Cersei,Stannis,6
Shae,Tyrion,35
Shae,Tommen,4
Cersei,Tommen,8
Bronn,Tommen,15
Stannis,Tyrion,19
Bronn,Renly,6
Bronn,Stannis,4
Renly,Tyrion,5
Bronn,Cersei,20
Bronn,Margaery,5
Bronn,Podrick,13
Cersei,Meryn,16
Meryn,Tyrion,4
Cersei,Littlefinger,21
Jaime,Podrick,3
Podrick,Tyrion,10
Robb,Stannis,12
Robett,Stannis,5
Littlefinger,Roose,5
Robb,Roose,6
Robb,Tyrion,19
Cersei,Myrcella,1
Myrcella,Tyrion,4
Bronn,The Mountain,2
