sentence,entities,character_entities
"I should be safe back at the Wall, tending the bloody ravens and making fires for old Maester Aemon.",['Maester Aemon'],['Aemon']
"It was the bastard Jon Snow who had taken that from him, him and his fat friend Sam Tarly.","['Jon Snow', 'Sam Tarly']",['Jon']
"Sweet Donnel Hill was squire to Ser Mallador Locke, and the night before last Smallwood had come to Locke’s tent.","['Sweet Donnel Hill', 'Mallador Locke', 'Smallwood', 'Locke']",['Locke']
"Lord Mormont did, and Mormont was waiting for his other scouts, for Jarman Buckwell and the men who’d climbed the Giant’s Stair, and for Qhorin Halfhand and Jon Snow, who’d gone to probe the Skirling Pass.","['Mormont', 'Mormont', 'Jarman Buckwell', 'Qhorin Halfhand', 'Jon Snow', 'the Skirling Pass']","['Qhorin', 'Jon']"
Chett pictured Jon Snow lying blue and frozen on some bleak mountaintop with a wildling spear up his bastard’s arse.,['Jon Snow'],['Jon']
He was the clever one; he’d been steward to old Maester Aemon for four good years before that bastard Jon Snow had done him out so his job could be handed to his fat pig of a friend.,"['Maester Aemon', 'four good years', 'Jon Snow']","['Aemon', 'Jon']"
"He had liked the look of Craster’s Keep, himself.",['Craster'],['Craster']
"Craster had nineteen, not even counting the young ones, the daughters he hadn’t gotten around to bedding yet.","['Craster', 'nineteen']",['Craster']
"Half them wives were as old and ugly as Craster, but that didn’t matter.","['Half', 'Craster']",['Craster']
"He’d sent one of his bastards, that Walder Rivers, and the next thing Chett had known he was walking to the Wall with that foul-smelling black devil Yoren.","['Walder Rivers', 'Chett', 'Yoren']",['Yoren']
"But now he meant to take it back, and Craster’s women too.",['Craster'],['Craster']
"Sure enough, the nearest bowman was Ser Piggy himself, the fat boy who had stolen his place with Maester Aemon.","['Piggy', 'Maester Aemon']",['Aemon']
Just the sight of Samwell Tarly filled him with anger.,['Samwell Tarly'],['Samwell']
Stewarding for Maester Aemon had been as good a life as he’d ever known.,['Maester Aemon'],['Aemon']
and Aemon never once hit him.,['Aemon'],['Aemon']
"He was white and it was snowing, what did they expect?”

“The wind took that one,” said Grenn, another friend of Lord Snow’s.",['Grenn'],['Grenn']
"Shoot the last arrow, Samwell, I believe my tongue is freezing to the roof of my mouth.”

",['Samwell'],['Samwell']
"“It’s too hard.”

“Notch, draw, and loose,” said Grenn.",['Grenn'],['Grenn']
"“Grenn, did you see?",['Grenn'],['Grenn']
"“Put it between his ribs, I’d say,” said Grenn.

",['Grenn'],['Grenn']
"“Brother,” he said solemnly, “just because it happened that way for you doesn’t mean Samwell will suffer the same.”

“What are you talking about, Tollett?”

“The axe that split your skull.","['Samwell', 'Tollett']",['Samwell']
"The big lout Grenn laughed, and even Samwell Tarly managed a weak little smile.",['Grenn'],['Grenn']
"The rest will likely form a rearguard, or ride in close company with Mance Rayder himself.",['Mance Rayder'],['Mance']
"Qhorin Halfhand hasn’t come back, has he?",['Qhorin Halfhand'],['Qhorin']
"Samwell Tarly, he remembered.",['Samwell Tarly'],['Samwell']
