source,target,value
Euron,Robin,5
Euron,Theon,12
Areo,Obara,12
Ellaria,Obara,9
Doran,Ellaria,2
Areo,Doran,19
Obara,Tywin,11
Areo,Oberyn,3
Areo,Nymeria,1
Nymeria,Obara,9
Obara,Oberyn,3
Doran,Myrcella,16
Doran,Tyene,2
Oberyn,Tyene,9
Nymeria,Tyene,13
Trystane,Tyene,9
Myrcella,Trystane,23
Myrcella,Tyene,16
Ellaria,Tyene,9
Cersei,Jaime,165
Robert,Stannis,21
Mace,Stannis,27
Kevan,Meryn,4
Kevan,Tyrion,17
Stannis,Tyrion,8
Catelyn,Robb,12
Jaime,Robert,86
Pycelle,Robert,8
Cersei,Pycelle,58
Jaime,Qyburn,44
Qyburn,Sansa,5
Sansa,Tyrion,7
Qyburn,Tyrion,4
Cersei,Shae,8
Cersei,Sansa,15
Sansa,Shae,2
Jaime,Tommen,76
Myrcella,Robert,5
Jaime,Pycelle,59
Jaime,Mace,21
Mace,Tommen,19
Cersei,Mace,34
Cersei,Joffrey,47
Joffrey,Varys,2
Jaime,Varys,20
Pycelle,Varys,6
Brienne,Sansa,122
Brienne,Jaime,99
Jaime,Sansa,16
Jaime,Roose,6
Roose,Sansa,5
Joffrey,Sansa,10
Brienne,Joffrey,14
Brienne,Varys,5
Dontos,Jaime,3
Dontos,Joffrey,12
Brienne,Dontos,43
Dontos,Sansa,23
Brienne,Tommen,18
Brienne,Renly,16
Aemon,Samwell,15
Jon,Stannis,29
Jon,Samwell,3
Samwell,Stannis,2
Craster,Grenn,7
Alliser,Grenn,5
Alliser,Jon,1
Craster,Janos,5
Grenn,Jon,8
Aemon,Jon,84
Jon,Qhorin,10
Craster,Jon,17
Aemon,Gilly,73
Janos,Stannis,4
Gilly,Stannis,2
Jon,Mance,5
Gilly,Jon,52
Aemon,Mance,8
Craster,Gilly,61
Arya,Jon,6
Jon,Yoren,8
Anguy,Yoren,5
Anguy,Arya,4
Arya,Syrio,14
Jaqen,Syrio,11
Luwin,Sansa,11
Arya,Luwin,16
Jaqen,Sansa,3
Arya,Jaqen,2
Arya,Joffrey,3
Arya,Thoros,2
Joffrey,Tommen,82
Myrcella,Tommen,23
Myrcella,Tyrion,9
Cersei,Tyrion,56
Joffrey,Robert,31
Robert,Tyrion,12
Lancel,Pycelle,6
Margaery,Pycelle,17
Margaery,Tommen,81
Cersei,Margaery,113
Cersei,Lancel,21
Kevan,Lancel,47
Cersei,Robert,121
Margaery,Robert,17
Cersei,Tommen,147
Littlefinger,Tommen,7
Littlefinger,Lysa,9
Lysa,Pycelle,5
Cersei,Qyburn,83
Mace,Tyrion,16
Pycelle,Qyburn,64
Ilyn,Tommen,4
Ilyn,Qyburn,5
Pycelle,Tyrion,16
Cersei,Kevan,46
Kevan,Mace,14
Lancel,Tommen,11
Kevan,Tommen,15
Jaime,Tywin,12
Joffrey,Kevan,6
Jaime,Kevan,33
Jaime,Loras,48
Loras,Tyrion,9
Jaime,Tyrion,48
Jaime,Lancel,143
Tyrion,Varys,9
Lancel,Tyrion,4
