sentence,entities,character_entities
"although Archmaester Benedict insisted that there had never been a war of five kings, since Renly Baratheon had been slain before Balon Greyjoy had crowned himself.

","['Archmaester Benedict', 'five', 'Renly Baratheon', 'Balon Greyjoy']",['Renly']
"This time he submitted himself to kindly old Archmaester Ebrose, renowned for his soft voice and gentle hands, but Ebrose’s sighs had somehow proved just as painful as Vaellyn’s barbs.

","['Archmaester Ebrose', 'Ebrose', 'Vaellyn']",['Archmaester']
"The one they called Daenerys.”

“The Stormborn.","['Daenerys', 'The Stormborn']",['Daenerys']
"“Morn will be upon us sooner than we’d like, and Archmaester Ebrose will be speaking on the properties of urine.",['Archmaester Ebrose'],['Archmaester']
"Mace Tyrell, Lord of Highgarden and Warden of the South, was Leo’s cousin.","['Mace Tyrell', 'Highgarden', 'Warden', 'South', 'Leo']",['Mace']
"The Seven were gods enough for him, but he had heard that Stannis Baratheon worshiped at the nightfires now.","['Seven', 'Stannis Baratheon']",['Stannis']
"Tywin Lannister had smashed Stannis and R’hllor upon the Blackwater, and soon enough he would finish them and mount the head of the Baratheon pretender on a spike above the gates of King’s Landing.

","['Lannister', 'Stannis', 'Baratheon', 'King’s Landing']",['Stannis']
"Balon, Euron, Victarion, Urrigon, and Aeron were the sons of his second, a Sunderly of Saltcliffe.","['Balon', 'Euron', 'Victarion', 'Urrigon', 'Aeron', 'second', 'Saltcliffe']",['Euron']
"For a third wife Quellon took a girl from the green lands, who gave him a sickly idiot boy named Robin, the brother best forgotten.","['third', 'Quellon', 'Robin']",['Robin']
At fifteen he had sailed with Dagmer Cleftjaw to the Stepstones and spent a summer reaving.,"['fifteen', 'Dagmer Cleftjaw', 'Stepstones', 'summer']",['Dagmer']
"“By rights the Seastone Chair belongs to Theon, or Asha if the prince is dead.","['Seastone Chair', 'Theon', 'Asha']",['Theon']
"Will Victarion make a claim, Damphair?”

“Euron is the elder brother . . .”","['Victarion', 'Euron']",['Euron']
"“Euron is elder,” the priest said, “but Victarion is more godly.”

","['Euron', 'Victarion']",['Euron']
"He had Sawane Botley drowned for saying that the Seastone Chair by rights belonged to Theon.”

","['Sawane Botley', 'the Seastone Chair', 'Theon']",['Theon']
"It was Lord Balon who came back, with his brothers Euron and Victarion.","['Euron', 'Victarion']",['Euron']
"In the end the Golden Storm went down off Fair Isle during Balon’s first rebellion, cut in half by a towering war galley called Fury when Stannis Baratheon caught Victarion in his trap and smashed the Iron Fleet.","['the end', 'the Golden Storm', 'Fair Isle', 'first', 'half', 'Stannis Baratheon', 'Victarion', 'the Iron Fleet']",['Stannis']
Euron has come again.,['Euron'],['Euron']
"And Theon, if he lived, was just as hopeless, a boy of sulks and smiles.",['Theon'],['Theon']
"The decks of Euron’s ship were painted red, to better hide the blood that soaked them.",['Euron'],['Euron']
"He has no love for Euron, though.",['Euron'],['Euron']
"Then, from the far side of the palace, the captain heard the faint drumbeat of boots on marble.

Obara.",['Obara'],['Obara']
Obara Sand always walked too fast.,['Obara Sand'],['Obara']
"When she appeared beneath the triple arch, Areo Hotah swung his longaxe sideways to block the way.",['Areo Hotah'],['Areo']
"Obara was the eldest Sand Snake, a big-boned woman near to thirty, with the close-set eyes and rat-brown hair of the Oldtown whore who’d birthed her.","['Obara', 'Sand Snake', 'thirty', 'Oldtown']",['Obara']
"For that, Areo Hotah gave thanks.",['Areo Hotah'],['Areo']
"Obara asked the captain, paying the maester no more mind than she would a fly, if any fly had been foolish enough to buzz about her head.

",['Obara'],['Obara']
Obara touched her whip.,['Obara'],['Obara']
"“Thousands are crossing the sands afoot to climb the Boneway, so they may help Ellaria bring my father home.","['Thousands', 'Boneway', 'Ellaria']",['Ellaria']
The same question is heard on every tongue—what will Doran do?,['Doran'],['Doran']
"“He does not wish to be disturbed,” Areo Hotah said again.

",['Areo Hotah'],['Areo']
"“Hotah,” said Obara Sand, “you will remove yourself from my path, else I shall take that longaxe and—”

“Captain,” came the command, from behind.","['Hotah', 'Obara Sand']",['Obara']
Areo Hotah jerked his longaxe upright and stepped to one side.,"['Areo Hotah', 'one']",['Areo']
"Obara gave him a lingering last look and strode past, the maester hurrying at her heels.",['Obara'],['Obara']
"“It was not so long ago that you were one of the children in those pools, Obara,” the prince said, when she took one knee before his rolling chair.

","['Obara', 'one']",['Obara']
