source,target,value
Jon,Orell,6
Myrcella,Tyrion,19
Myrcella,Tommen,28
Oberyn,Tommen,5
Doran,Oberyn,14
Doran,Tyrion,3
Tyrion,Varys,11
Cersei,Tyrion,7
Cersei,Jaime,25
Jaime,Tyrion,20
Stannis,Tyrion,10
Myrcella,Stannis,8
Stannis,Tommen,31
Daenerys,Missandei,8
Irri,Missandei,62
Barristan,Grey,53
Irri,Jorah,7
Barristan,Mirri,2
Grey,Missandei,7
Hizdahr,Xaro,13
Jon,Stannis,294
Stannis,Tormund,12
Jon,Tormund,182
Aemon,Jon,55
Jon,Rickon,8
Rickon,Theon,6
Jon,Theon,18
Jon,Ygritte,89
Bowen,Jon,197
Jon,Samwell,11
Stannis,Ygritte,14
Jon,Lyanna,5
Jon,Robb,28
Lyanna,Stannis,12
Rickard,Robb,5
Mance,Stannis,10
Ned,Stannis,16
Stannis,Thenn,5
Gilly,Thenn,3
Gilly,Melisandre,6
Craster,Gilly,16
Gilly,Stannis,8
Alliser,Jon,29
Melisandre,Stannis,59
Jon,Melisandre,101
Hodor,Jon,6
Jojen,Meera,109
Bran,Hodor,32
Bran,Jojen,14
Bran,Meera,46
Hodor,Jojen,24
Hodor,Meera,84
Lady,Nymeria,6
Bran,Tyrion,4
Khal,Viserys,2
Daenerys,Tyrion,19
Jaime,Varys,5
Daenerys,Varys,6
Barristan,Daenerys,37
Barristan,Tyrion,15
Barristan,Jaime,13
Gilly,Jon,53
Craster,Jon,12
Jon,Tommen,4
Bran,Tommen,6
Bran,Jon,6
Janos,Jon,67
Janos,Stannis,10
Aemon,Stannis,2
Aemon,Gilly,29
Aemon,Craster,4
Alliser,Janos,16
Grenn,Jon,14
Bowen,Grenn,6
Alliser,Bowen,5
Bowen,Janos,11
Tyrion,Tywin,11
Davos,Tyrion,2
Davos,Stannis,111
Davos,Lysa,6
Davos,Jon,5
Mance,Ygritte,4
Jon,Mance,56
Aemon,Ygritte,4
Gilly,Ygritte,7
Melisandre,Thenn,4
Jon,Thenn,22
Bowen,Stannis,25
Bowen,Othell,37
Jon,Tyrion,3
Tommen,Tyrion,2
Grey,Irri,24
Missandei,Viserys,9
Barristan,Daario,37
Barristan,Missandei,19
Hizdahr,Missandei,13
Joffrey,Robert,14
Robert,Viserys,18
Joffrey,Viserys,4
Janos,Joffrey,7
Joffrey,Ned,10
Ned,Varys,5
Robert,Varys,6
Ramsay,Roose,61
Arya,Sansa,9
Arya,Hodor,11
Arya,Jojen,5
Bronn,Tyrion,10
Tyrion,Viserys,3
Roose,Stannis,50
Davos,Tommen,4
Littlefinger,The Hound,6
Robett,The Hound,4
Daenerys,Davos,5
Daenerys,Xaro,15
Irri,Xaro,15
Barristan,Xaro,18
Jorah,Xaro,7
Daenerys,Jorah,8
Barristan,Jorah,10
Greatjon,Jon,5
Jon,Ramsay,25
Jon,Robert,21
Jon,Ned,5
Jon,Rickard,4
Rickard,Stannis,5
Robert,Stannis,60
Jon,Roose,5
Davos,Robb,10
Robert,Tommen,6
Davos,Robert,2
Davos,Joffrey,6
Davos,Melisandre,11
Robb,Stannis,11
Arya,Ramsay,26
Greatjon,Ramsay,1
Greatjon,Roose,6
Ramsay,Rickard,2
Robb,Roose,4
Ramsay,Theon,80
Robb,Theon,6
Ramsay,Robb,1
Aemon,Bowen,4
Jon,Othell,31
Jon,Qhorin,11
Bowen,Qhorin,4
Arya,Jon,38
Robert,Tyrion,1
Joffrey,Tyrion,18
Jaime,Kevan,19
Kevan,Mace,35
Mace,Stannis,25
Thoros,Tyrion,6
Robert,Thoros,6
Daenerys,Hizdahr,70
Barristan,Hizdahr,232
Daario,Hizdahr,95
Daario,Irri,26
Daario,Missandei,11
Daario,Daenerys,9
Daario,Xaro,6
Daario,Grey,9
Daario,Tyrion,2
Jorah,Tyrion,106
Shae,Tyrion,6
Jorah,Shae,12
Cersei,Daenerys,5
Cersei,Joffrey,11
Cersei,Jorah,5
Benjen,Jon,20
Jon,Rodrik,5
Arya,Stannis,24
Melisandre,Ygritte,9
Davos,Locke,1
Davos,Robett,29
Davos,Roose,13
Arya,Roose,16
Roose,Tywin,1
Davos,Tywin,2
Robett,Stannis,15
Stannis,Theon,31
Davos,Ramsay,3
Robett,Rodrik,1
Davos,Rodrik,2
Ned,Roose,11
Daenerys,Kraznys,6
Grey,Jorah,3
Hizdahr,Melisandre,5
Bowen,Melisandre,7
Melisandre,Tormund,1
Arya,Melisandre,2
Rickard,Roose,11
Ramsay,Stannis,42
Ned,Ramsay,10
Ramsay,Walda,3
Joffrey,Jorah,3
Brynden,Meera,5
Brynden,Hodor,13
Brynden,Robb,4
Arya,Robb,3
Rickon,Sansa,6
Bran,Brynden,15
Jojen,Sansa,8
Bran,Leaf,3
Leaf,Meera,8
Arya,Bran,16
Bowen,Ygritte,5
Jon,Styr,4
Barristan,Jon,1
Barristan,Rakharo,5
Grey,Rakharo,18
Irri,Rakharo,17
Hizdahr,Irri,23
Hizdahr,Khal,17
Hizdahr,Jorah,9
Arya,Theon,18
Luwin,Roose,9
Grey,Sansa,1
Roose,Theon,35
Stannis,Walda,4
Sansa,Theon,4
Doran,Ellaria,9
Areo,Ellaria,16
Areo,Obara,22
Areo,Doran,6
Nymeria,Obara,21
Nymeria,Tyene,12
Obara,Tyene,22
Myrcella,Trystane,23
Tommen,Trystane,3
Doran,Trystane,1
Ellaria,Trystane,4
Myrcella,Obara,24
Cersei,Oberyn,3
Oberyn,Tyene,14
Ellaria,Obara,8
Amory,Ellaria,2
Amory,The Mountain,6
Joffrey,The Mountain,5
Joffrey,Myrcella,6
Ellaria,Tommen,2
Ellaria,Tyene,4
Ellaria,Oberyn,4
Obara,Stannis,4
Areo,Nymeria,3
Ellaria,Nymeria,3
Myrcella,Tyene,3
Daenerys,Obara,3
Obara,Oberyn,6
Cersei,Trystane,5
Areo,Tyene,4
Trystane,Tyene,5
Obara,Trystane,5
Myrcella,Nymeria,5
Nymeria,Oberyn,5
Bowen,Tormund,22
Jaime,Joffrey,3
Joffrey,Robb,6
Jorah,Stannis,4
Ramsay,Sansa,2
Bran,Robb,3
Greatjon,Theon,4
Lady,Stannis,6
Ned,Robert,11
Euron,Stannis,11
Robert,Roose,3
Jory,Lyanna,5
Robert,Theon,3
Rodrik,Theon,6
Rodrik,Stannis,3
Daenerys,Khal,8
Barristan,Viserys,4
Barristan,Irri,5
Hizdahr,Tywin,1
Hizdahr,Jon,2
Jon,Selyse,16
Bowen,Selyse,4
Shireen,Stannis,10
Jon,Wun,3
Aemon,Melisandre,6
Mance,Melisandre,5
Alys,Jon,37
Alys,Stannis,11
Alys,Roose,1
Arya,Syrio,6
Locke,Stannis,3
Catelyn,Steelshanks,1
Ramsay,Rickon,4
Hizdahr,Tyrion,3
Jaime,Lancel,12
Doran,Myrcella,3
Doran,Robert,6
Jaime,Robert,21
Brynden,Jaime,8
Edmure,Jaime,3
Jaime,Thoros,4
The Hound,Thoros,6
Brynden,The Hound,6
Brienne,Jaime,9
Brienne,Melisandre,3
Melisandre,Shireen,3
Jon,Shireen,10
Alys,Melisandre,21
Alys,Thenn,5
Benjen,Stannis,2
Robb,Styr,1
Alys,Robb,4
Alliser,Alys,1
Hizdahr,Tormund,1
Khal,Mirri,7
Missandei,Stannis,3
Locke,Roose,5
Locke,Ramsay,1
Ramsay,Steelshanks,21
Roose,Steelshanks,6
Jory,Rodrik,3
Steelshanks,Theon,1
Hizdahr,Robert,17
Mance,Tormund,12
Mance,Shireen,8
Robert,Shireen,5
Othell,Tormund,3
Ned,Tormund,5
Cersei,Loras,4
Loras,Unella,3
Meryn,Pycelle,5
Lancel,Meryn,5
Jaime,Qyburn,2
Jaime,Unella,8
Margaery,Unella,4
Lancel,Unella,4
Joffrey,Tommen,13
Lancel,Tommen,4
Cersei,Margaery,9
Margaery,Tyrion,4
Cersei,Lancel,11
Cersei,Robert,21
Cersei,Stannis,10
Kevan,Unella,12
Cersei,Unella,12
Cersei,Tommen,28
Kevan,Tommen,26
Kevan,Stannis,10
Mace,Margaery,5
Margaery,Stannis,5
Mace,Tommen,5
Mace,Pycelle,26
Pycelle,Randyll,8
Cersei,Qyburn,19
Joffrey,Trystane,2
Jaime,Tommen,5
Qyburn,Tommen,9
Daario,Rakharo,10
Missandei,Rakharo,5
Grey,Hizdahr,7
Daenerys,Robert,4
Hizdahr,Joffrey,5
Daenerys,Euron,10
Qhorin,Ygritte,1
Qhorin,Tormund,5
Tormund,Ygritte,4
Barristan,Robert,9
Jaime,Myrcella,3
Brienne,Tommen,3
Kevan,Lancel,15
Cersei,Ned,5
Ned,Sansa,3
Littlefinger,Sansa,10
Lancel,Sansa,4
Lancel,Littlefinger,5
Littlefinger,Robert,5
Janos,Robert,3
Cersei,Tywin,1
