sentence,entities,character_entities
"Others were slain by those who had been
their brothers-in-arms when they marched south with Mance Rayder,
the King-Beyond-the-Wall.

        ","['Mance Rayder', 'the King-Beyond-the-Wall']",['Mance']
"Mance is fallen, the survivors told each other in despairing
voices, Mance is taken, Mance is dead.",['Mance'],['Mance']
"“Harma’s dead and Mance is
captured, the rest run off and left us,” Thistle had claimed, as she was
sewing up his wound.","['Harma', 'Mance', 'Thistle']",['Mance']
"I was
Varamyr Six-skins, who broke bread with Mance Rayder.","['Varamyr Six-skins', 'Mance Rayder']",['Mance']
"He rode to battle on the back of a snow bear thirteen feet tall,
kept three wolves and a shadowcat in thrall, and sat at the right hand
of Mance Rayder.","['thirteen feet', 'three', 'Mance Rayder']",['Mance']
"Borroq
looked so much like his boar that all he lacked was tusks, Orell had
his eagle, Briar her shadowcat (the moment he saw them, Lump
wanted a shadowcat of his own), the goat woman Grisella …

        None of them had been as strong as Varamyr Sixskins,
though, not even Haggon, tall and grim with his hands as hard as
stone.","['Borroq', 'Orell', 'Lump', 'Grisella', 'Varamyr Sixskins', 'Haggon']",['Orell']
"When he claimed the eagle
that had been Orell’s, he could feel the other skinchanger raging at his
presence.",['Orell'],['Orell']
"Orell had been slain by the turncloak crow Jon Snow, and
his hate for his killer had been so strong that Varamyr found himself
hating the beastling boy as well.","['Orell', 'Jon Snow', 'Varamyr']","['Orell', 'Jon']"
Tyrion would sooner have gone to Dorne.,['Tyrion'],['Tyrion']
"Myrcella is older than
Tommen, by Dornish law the Iron Throne is hers.","['Myrcella', 'Tommen', 'Dornish', 'the Iron Throne']","['Myrcella', 'Tommen']"
"I will help her claim
her rights, as Prince Oberyn suggested.

        ",['Oberyn'],['Oberyn']
"Oberyn was dead, though, his head smashed to bloody ruin by
the armored fist of Ser Gregor Clegane.","['Oberyn', 'Ser Gregor Clegane']",['Oberyn']
"And without the Red Viper to
urge him on, would Doran Martell even consider such a chancy
scheme?",['Doran Martell'],['Doran']
"Old Bear Mormont said the
Night’s Watch had need of men like Tyrion.","['Night’s Watch', 'Tyrion']",['Tyrion']
"Janos Slynt would see to that.

        ",['Janos Slynt'],['Janos']
Sleep had never come easily to Tyrion Lannister.,['Tyrion Lannister'],['Tyrion']
"The crossbow thrummed, Lord Tywin sat
back down, and Tyrion Lannister found himself waddling through the
darkness with Varys at his side.","['Tyrion Lannister', 'Varys']","['Tyrion', 'Varys']"
